dateSold,lotAreaValue,priceChange,zestimate,initialPrice,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,0.0,0.0,930000.0,965000,5,-84.324196,34.088043,FOR_SALE,14686113,5407.0,86,5.0,4410,USA,USD,acres,true,185 Brighton Cir,Alpharetta,GA,30004,965000.0,2024-03-13
,6098.4,-15000.0,1152200.0,1185000,5,-84.305084,34.051815,FOR_SALE,306365832,6283.0,28,5.0,3780,USA,USD,sqft,true,585 Opera Ln,Alpharetta,GA,30009,1170000.0,2024-03-13
,6534.0,0.0,647300.0,640000,4,-84.22576,34.163155,FOR_SALE,114457553,2898.0,1,4.0,2520,USA,USD,sqft,true,4915 Brierstone Dr,Alpharetta,GA,30004,640000.0,2024-03-13
,0.0,0.0,768600.0,750000,4,-84.243095,34.068672,FOR_SALE,35817056,3371.0,1,4.0,3298,USA,USD,acres,true,520 Tumbling Creek Dr,Alpharetta,GA,30005,750000.0,2024-03-13
,0.0,-50000.0,0.0,1350000,6,-84.25526,34.13216,FOR_SALE,68630469,0.0,40,7.0,6099,USA,USD,acres,true,6670 Tulip Garden Way,Alpharetta,GA,30004,1300000.0,2024-03-13
,0.0,-25000.0,719300.0,749999,4,-84.30882,34.073586,FOR_SALE,14687401,3099.0,54,3.0,2280,USA,USD,acres,true,181 Burnett Way,Alpharetta,GA,30009,724999.0,2024-03-13
,5009.4,0.0,2802500.0,2800000,5,-84.28053,34.07055,FOR_SALE,283677503,10597.0,1,5.0,3839,USA,USD,sqft,true,326 S Esplanade,Alpharetta,GA,30009,2800000.0,2024-03-13
,0.0,0.0,2585500.0,2750000,5,-84.22623,34.07728,FOR_SALE,14680881,11747.0,1,5.0,5562,USA,USD,acres,true,721 Eagles Mere Ct,Alpharetta,GA,30005,2750000.0,2024-03-13
,0.0,0.0,3834500.0,3995000,5,-84.2963,34.084553,FOR_SALE,14688105,16223.0,20,7.0,4511,USA,USD,acres,true,329 Canton St,Alpharetta,GA,30009,3995000.0,2024-03-13
,0.0,0.0,762000.0,739000,4,-84.2555,34.15814,FOR_SALE,60947616,4372.0,1,3.0,4296,USA,USD,acres,true,3795 Hamby Oaks Dr,Alpharetta,GA,30004,739000.0,2024-03-13
,0.0,0.0,1167300.0,1150000,5,-84.26811,34.0431,FOR_SALE,55015239,5558.0,6,5.0,4981,USA,USD,acres,true,1725 Ridge Oak Pl,Alpharetta,GA,30022,1150000.0,2024-03-13
,8581.32,0.0,867900.0,849000,3,-84.20902,34.087116,FOR_SALE,14681374,3628.0,1,3.0,3358,USA,USD,sqft,true,2810 Gleneagles Pointe,Alpharetta,GA,30005,849000.0,2024-03-13
,4791.6,0.0,571600.0,565000,4,-84.290054,34.08945,FOR_SALE,35945882,2600.0,1,3.0,2120,USA,USD,sqft,true,2305 Winthrope Way Dr,Alpharetta,GA,30009,565000.0,2024-03-13
